name,address,website,phone_number,latitude,longitude,category,reviews_count,reviews_average
Apollo Pharmacy Kodigahalli Main Road,"Building No:30, Shop 1 Munnekolala, Marathahalli, Bengaluru, Karnataka 560037",,,12.9528337,77.6800297,pharmacy,,
"Namo Pharma. A trusted Center for Allopathic,Ayurvedic and cosmetics","SN 2, Ground Floor, Muneshwara Layout, Basavanapura, Krishnarajapura, Bengaluru, Karnataka 560036",apollopharmacy.in,099080 24640,13.0025851,77.6728568,pharmacy,,
Apollo Pharmacy Konena Agrahara,"271, Borewell Rd, Phase 2, Dodsworth Layout, Whitefield, Bengaluru, Karnataka 560066",,097390 37626,12.9680767,77.7126489,pharmacy,,
Apollo Pharmacy Munnekolala,"Ground Floor, Survey No 73, 76/39, HAL Old Airport Rd, Konena Agrahara, Bengaluru, Karnataka 560017",apollopharmacy.in,080 2522 0006,12.95468,77.6469901,pharmacy,,
Apollo Pharmacy,"Shop No 1, Ground Floor Varthur, Hobli, Munnekollal Main Rd, Bengaluru, Karnataka 560037",apollopharmacy.in,080 2522 0511,12.9520146,77.6711205,pharmacy,,
Apollo pharmacy DB Halli -3,"728, 1, Tulsi Theater Rd, near Brand Factory - HAL Road, 7th Cross, Marathahalli Village, Marathahalli, Bengaluru, Karnataka 560037",apollopharmacy.in,1860 500 0101,12.9520146,77.6711205,pharmacy,,
Apollo pharmacy Varthur,"2, Gear School Rd, Adarsh Palm Retreat, Doddakannelli, Bengaluru, Karnataka 560103",apollopharmacy.in,087924 99642,12.9520146,77.6711205,pharmacy,,
Ganesh medical and general store,"MNC Plaza, 1st Cross Rd, opp. KK high School, beside Shell Petrol Bunk, Varthur, Karnataka 560087",apollopharmacy.in,079756 00282,12.932991,77.7068855,pharmacy,,
Apollo Pharmacy Krishnarajapura,"Sjr infrastructure Sjr i park, opp. satya sai metro stations. Whitefield, EPIP Zone, Whitefield, Bengaluru, Karnataka 560066",,080734 48968,12.9813681,77.6909261,pharmacy,,
Place V,"Shop No 1, opposite State Bank Of India, Bhattarahalli, Hosabasavanapura, Krishnarajapura, Bengaluru, Karnataka 560049",apollopharmacy.in,080 4865 2763,13.0246406,77.6833748,pharmacy,,
SHAMBHAVI MEDICALS & GENERAL STORES,"88, Borewell Rd, Palm Meadows, Dodsworth Layout, Whitefield, Bengaluru, Karnataka 560066",,,12.968174,77.7092609,pharmacy,,
Aster Pharmacy - Konena Agrahara,"Shop No: 1 Apsara Arcade, Channasandra Main Road,Kadugodi, near MVJ Engineering College, Bengaluru",,098862 50481,12.968174,77.7092609,pharmacy,,
Apollo pharmacy,"82, 3rd Main Rd, near Rajeshwari Theatre, Konena Agrahara, Murgesh Pallya, Bengaluru, Karnataka 560017",murgeshpallya.asterpharmacy.in,080 4809 7526,12.9574589,77.6243896,pharmacy,,
Apollo Pharmacy Krishnarajapura,"Devarabisanahalli 3rd cross, opposite to turulamala ladies pg, Bengaluru, Karnataka 560103",apollopharmacy.in,011 3083 7575,12.9281543,77.6517381,pharmacy,,
