name,address,website,phone_number,latitude,longitude,category,reviews_count,reviews_average
"FabHotel Krishna Boutique - Hotel in Marathahalli, Bangalore","31, Varthur Main Road, Silver Spring layout, Spice Garden Layout, Marathahalli, Bengaluru, Karnataka 560037",bookmystay.io,,12.9574132,77.5648881,hotel,,
Midtown Suites Marathahalli Bangalore,"Next to Udupi Prak, 88, Outer Ring Rd, Marathahalli, Bengaluru, Karnataka 560037",fabhotels.com,070424 24242,12.9574132,77.5648881,hotel,,
Hotel Grand Bee,"24/1, Doddanakundi, Ferns city road, Outer Ring Rd, Marathahalli, Bengaluru, Karnataka 560037",midtownsuites.in,091640 59900,12.9574132,77.5648881,hotel,,
KRISHNA HOTEL,"37/1, Railway Parallel Rd, Dr.Ambedkar Nagar, Yeswanthpur, Bengaluru, Karnataka 560022",,080 2357 5000,13.0199,77.4102493,hotel,,
COMET HOTEL,"XPJM+2CM, Pattandur Agrahara Main Rd, KIADB Export Promotion Industrial Area, Whitefield, Bengaluru, Karnataka 560066",,,12.9800911,77.58934,hotel,,
Hotel Nirala,"XP62+GF4, VM SQUARE, Outer Ring Rd, Aswath Nagar, Marathahalli, Bengaluru, Karnataka 560037",,096067 69997,12.9800911,77.58934,hotel,,
Royal Orchid Central Bengaluru,"XQR6+87Q, Maithri Layout, Kadugodi, Bengaluru, Karnataka 560067",,,12.9800911,77.58934,hotel,,
Hello Stay Hotel 5011 Bangalore,"47, Manipal Centre, 1, Dickenson Rd, Yellappa Garden, Yellappa Chetty Layout, Sivanchetti Gardens, Bengaluru, Karnataka 560042",royalorchidhotels.com,080 4193 5566,12.9748466,77.4712206,hotel,,
Miraya Hotel WhiteField Bengaluru,"Apartment, Keerthi Signature, ITPL Main Rd, opposite to PRESTIGE SHANTINIKETAN, KIADB Export Promotion Industrial Area, Whitefield, Bengaluru, Karnataka 560048",hellostay.com,090360 74997,12.98731,77.5813591,hotel,,
Hotel Niranjan,"Siddapura, Whitefield, Bengaluru, Karnataka 560066",,,12.98731,77.5813591,hotel,,
Earth Hotels,"XPHM+7JF, Ecc Rd, White Rose Layout, Pattandur Agrahara, Whitefield, Bengaluru, Karnataka 560066",,079752 10421,12.98731,77.5813591,hotel,,
The Lounge Hotel,"136/37, 2nd Main Rd, next to Nandi Toyota, EPIP Zone, Whitefield, Bengaluru, Karnataka 560066",earthhotels.info,076249 56683,12.98731,77.5813591,hotel,,
Hotel Srihari,"21, 2nd Cross Rd, Kalasipalya, Bengaluru, Karnataka 560002",theloungehotel.business.site,096064 43333,12.9588374,77.4327856,hotel,,
OYO Townhouse 519 Magic Inn,"Kadgodi, Kadugodi, Bengaluru, Karnataka 560067",,097318 63424,12.9826665,77.6180373,hotel,,
Nevesa Inn,"39/5, Outer Ring Road, Doddanakundi, Kartik Nagar, Bengaluru, Karnataka 560037",,,12.9786656,77.5513234,hotel,,
The Sulit Whitefield,"36,37 1st Main Road, 60 Feet Rd, AECS Layout, Chinnapanna Halli, Bengaluru, Karnataka 560037",nevesainn.com,099867 66604,12.9786656,77.5513234,hotel,,
Mojatel by Icon,"131/B, EPIP area, Mahadevapura, Whitefield, Bengaluru, Karnataka 560066",thesulithotels.com,080 6966 8500,12.9786656,77.5513234,hotel,,
Grand Inn Hotel,"No. 191, AECS Layout - A Block, AECS Layout, Kundalahalli, Bengaluru, Karnataka 560037",iconhotelsindia.com,078996 18342,12.9786656,77.5513234,hotel,,
Hotel Green Tree Bangalore,"99, 2nd Main Rd, next to Terapanthi Bhawan, Gandhi Nagar, Bengaluru, Karnataka 560009",,080 4110 2929,12.9773257,77.4354269,hotel,,
New Rainbow Business Hotel,"HOTEL GREEN TREES, 44, 1st Main Rd, Gokula 1st Stage, Yeswanthpur, Bengaluru, Karnataka 560054",,080 4151 6191,12.9773257,77.4354269,hotel,,
"Livin Hub, The Business Hotel","#93, Residency Rd, Shanthala Nagar, Ashok Nagar, Bengaluru, Karnataka 560025",rainbowhotel.in,090660 30700,12.9773257,77.4354269,hotel,,
Hotel Royal Residency,"39/3, 2nd Floor, Doddanekkundi Junction, Main Road, Marathahalli, Bengaluru, Karnataka 560037",,098809 99877,12.9794167,77.5509792,hotel,,
OYO 1350 Hotel Sherwood Suites-2,"iti muss, Lak Ven Meadows Commercial Complex, Ayyappa Nagar, Krishnarajapura, Bengaluru, Karnataka 560016",,098863 14959,12.9794167,77.5509792,hotel,,
Plus Hotels,"Kumarapalli, Thubarahalli, Whitefield, Bengaluru, Karnataka 560066",oyorooms.com,0124 433 0591,12.9794167,77.5509792,hotel,,
Collection O Hotel Emara Inn Near Ascendas Park Square Mall,"Software Park, 157/A, Challaghatta Jct Rd, behind EGL, Challaghatta, Bengaluru, Karnataka 560017",,,12.9794167,77.5509792,hotel,,
OYO Flagship Lakshmana Hotel,"Belathur Main Rd, Doddanekundi, Krishnarajapura, Bengaluru, Karnataka 560037",oyorooms.com,0124 433 0591,12.9794167,77.5509792,hotel,,
Super OYO Flagship Manu Residency Near Ascendas Park Square Mall,"87/1, M, Muniyappa Advocate Building, Pattandur Agrahara Main Rd, Pattandur Agrahara, Whitefield, Bengaluru, Karnataka 560066",oyorooms.com,02694 330 591,12.9794167,77.5509792,hotel,,
"FabHotel Athasri Inn - Hotel in Marathahalli, Bangalore","Whitefield, opposite SBI, Sai Colony, Kadugodi, Bengaluru, Karnataka 560067",oyorooms.com,0124 433 0591,12.9794167,77.5509792,hotel,,
"FabHotel Rotano Grand - Hotel in Marathahalli, Bangalore","34, Bellandur Railway Station Rd, Munnireddy Layout, Panathur, Bengaluru, Karnataka 560037",fabhotels.com,070424 24242,12.9794167,77.5509792,hotel,,
Collection O Vittala Comfort Near Ascendas Park Square Mall,"No.19 Jamia Zahara Munnekolalu Road, Marathahalli, Bengaluru, Karnataka 560037",fabhotels.com,070424 24242,12.9794167,77.5509792,hotel,,
Casa Cottage Hotel,"109, 109, 2nd Cross Rd, Belathur, Krishnarajapura, Bengaluru, Karnataka 560067",oyorooms.com,0124 433 0591,12.9794167,77.5509792,hotel,,
Hotel Crescent,"Post Office, 2, Clapham Street, behind Richmond Town, Richmond Town, Bengaluru, Karnataka 560025",casacottage.com,098440 19710,12.964365,77.4600694,hotel,,
Hotel Metro View Inn - Bangalore,"Plot No 5, LRDE Layout, Outer Ring Rd, Karthik Nagar, Marathahalli, Bengaluru, Karnataka 560048",,,12.9885093,77.5453223,hotel,,
Hotel Daawat,"No.5 Jyothi Nagar, Mysore Rd, behind Mysore Road Metro Station, Bengaluru, Karnataka 560039",,063648 22451,12.9476626,77.3867775,hotel,,
I.V Sanctum Hotel,"Basavanapura, Krishnarajapura, Bengaluru, Karnataka 560049",,080954 18888,13.0151524,77.5653334,hotel,,
Treebo Trend SLN Heritage,"33, 5th Main Rd, near Tata Consultancy Services, Gandhi Nagar, Bengaluru, Karnataka 560009",ivsanctum.com,080 4631 5555,12.9800175,77.4327086,hotel,,
White Inn,"SLN Heritage at No 604, 0552, Tubarahalli Colony BEML Layout, 16th Cross Rd, BEML Layout 6th Stage, Thubarahalli, Bengaluru, Karnataka 560075",treebo.com,093228 00100,12.9600457,77.5774832,hotel,,
"FabHotel RMS Comforts - Hotel in Yeshwanthpur, Bangalore","XJ85+VG3, Castle St, next to bucket Biriyani, Ashok Nagar, Bengaluru, Karnataka 560025",,,12.9671462,77.4645948,hotel,,
Bloom Hotel - Brookefield,"No 1, Old No. 69, Mouna Dream Arcade 5th Main Road Mathikere Extn Bangalore Karnataka 560022, Mathikere Extension, Mathikere, Bengaluru, Karnataka 560054",fabhotels.com,070424 24242,12.9671462,77.4645948,hotel,,
OYO 4733 Champion Residency,"Plot No 1 Green Avenue Road, ITPL Main Rd, Brookefield, Bengaluru, Karnataka 560037",staybloom.com,081477 99401,12.9708904,77.5687585,hotel,,
Hotel,"ILD Extension, 390, Old Madras Road, 4th A Main Rd, Krishnarajapura, Bengaluru, Karnataka 560036",oyorooms.com,0124 433 0591,12.9708904,77.5687585,hotel,,
Super OYO Townhouse 071 Brookfield Near Brigade Tech Garden,"180, Vijayalakshmi Colony, Belatur Colony, Belatur, Bengaluru, Karnataka 560067",,,12.9708904,77.5687585,hotel,,
OYO Sri Radha Krishna Nilaya Near Nexus Whitefield (the Forum Neighbourhood Mall),"278, 8th Main Rd, BEML Layout, Brookefield, Bengaluru, Karnataka 560066",oyorooms.com,0124 433 0591,12.9708904,77.5687585,hotel,,
SHAKTHI HOTEL,"MVJ Engineering College, 24 111/1 6th Cross, Extn, Pvs Convent Road, New, Channasandra, Bengaluru, Karnataka 560067",oyorooms.com,0124 433 0591,12.9708904,77.5687585,hotel,,
Kimaya Stay,"XQJ9+2JQ, Immadihalli Main Rd, Shyanubhog Subbaiah Layout, Channasandra, Bengaluru, Karnataka 560067",,,12.9708904,77.5687585,hotel,,
Hello Stay Hotel 5015 Bangalore,"No 45, 1, 11th Cross Rd, Siddaiah Rd, Wilson Garden, Bengaluru, Karnataka 560027",kimaya-stay.business.site,,12.9486191,77.4539517,hotel,,
"Peninsula Suites - Operated by Lemon Tree Hotels,Whitefield","XPQG+5H6, KIADB Export Promotion Industrial Area, Krishnarajapura, Bengaluru, Karnataka 560066",,,12.9879031,77.5821972,hotel,,
Transtree Whitefield,"No. 11/3A, VASWANI PINNACLE, Whitefield Main Rd, Annex, Whitefield, Bengaluru, Karnataka 560066",lemontreehotels.com,080 4251 2345,12.9879031,77.5821972,hotel,,
Townhouse 361 Sarvar Hospitality Near Ascendas Park Square Mall,"#35/5C, Waterville, Ramagondanahalli Varthur Road Opp to Sigma Tech Park, Bengaluru, Karnataka 560066",transtree.in,080665 17400,12.9879031,77.5821972,hotel,,
OYO 9931 Hotel Bali Square,"37, kadugudi, Park, Post Office Road, opposite Kadugodi, Kadugodi, Bengaluru, Karnataka 560067",oyorooms.com,0124 433 0591,12.9879031,77.5821972,hotel,,
OYO Townhouse 332 Varthur Main Road Near Nexus Whitefield (The Forum Neighbourhood Mall),"50, Bali Square, Sai Baba Temple Rd, Green Garden Layout, Silver Springs Layout, Munnekollal, Bengaluru, Karnataka 560037",oyorooms.com,0124 433 0591,12.9879031,77.5821972,hotel,,
BangaloreTimes,"15, Whitefield, Thubarahalli, Bengaluru, Karnataka 560066",oyorooms.com,0124 620 1730,12.9879031,77.5821972,hotel,,
Hotel Stay Inn,"574, AECS Main Rd, opp. icic bank, AECS Layout - C Block, Kundalahalli, Brookefield, Bengaluru, Karnataka 560037",business.site,081399 99115,12.9879031,77.5821972,hotel,,
"Holiday Inn Bengaluru Racecourse, an IHG Hotel","18, 11th A Main Rd, off Millers Road, near Shell Petrol Pump, Vasanth Nagar, Bengaluru, Karnataka 560052",hotelstayinn.com,,12.9912714,77.4492017,hotel,,
PHOENIX HOTEL,"Ward No.94, 16/1, Seshadri Rd, Gandhi Nagar, Bengaluru, Karnataka 560009",ihg.com,080 4620 5900,12.9912714,77.4492017,hotel,,
,"4th, More Megastore, Outer Ring Rd, near Innovative Multiplex, Marathahalli Village, Marathahalli, Bengaluru, Karnataka 560037",phoenixhotels.in,091083 11148,12.9481118,77.5545082,hotel,,
